id,pred
1472958183882719233t,ProVax
1449995880904470529t,AntiVax
1480413964265660416t,Neutral
1408119497962057742t,ProVax
1439361704320806915t,Neutral
1478769637282230274t,Neutral
1472297934633017344t,ProVax
1520114105985769475t,ProVax
1423827464573255683t,Neutral
1479557209751175174t,Neutral
1399354920202014721t,AntiVax
1418397031400296449t,ProVax
1441544771764318213t,ProVax
1469565920632721412t,ProVax
1402596703476142086t,ProVax
1457900512003645442t,ProVax
1515096322155679747t,Neutral
1467663527313870854t,AntiVax
1437463725817073667t,Neutral
1481332399803969537t,Neutral
1417071952011972612t,AntiVax
1404373195042422790t,ProVax
1471440978842116103t,AntiVax
1477275115696140292t,ProVax
1459570990489522186t,ProVax
1398100683954569217t,ProVax
1515971049258692613t,AntiVax
1415668876185010179t,AntiVax
1406914084512075783t,AntiVax
1510348254692712450t,ProVax
1417233424469958663t,Neutral
1444076777437945860t,ProVax
1442215639590998016t,Neutral
1466092338531426306t,Neutral
1453654444432838656t,AntiVax
1472967722816643074t,Neutral
1421161214646710275t,Neutral
1438274245126205444t,Neutral
1430574958955094018t,AntiVax
1509670175552933913t,ProVax
1443634517797900290t,Neutral
1419997780030808067t,ProVax
1399019058872344581t,ProVax
1442025608687521792t,Neutral
1438529133865226249t,AntiVax
1428442936426041345t,ProVax
1449147097954103299t,Neutral
1456963019670425601t,ProVax
1460163709523927046t,Neutral
1416498812290363395t,ProVax
1456769329379397639t,Neutral
1403230433458982912t,Neutral
1520499276736045058t,AntiVax
1419066866350399492t,ProVax
1441093968364638213t,AntiVax
1419817437390807048t,AntiVax
1465542251455471619t,ProVax
1457450503785246721t,ProVax
1405749607947112450t,Neutral
1451711136139595781t,ProVax
1395688332181610498t,Neutral
1492616828862046208t,Neutral
1411584833688543235t,Neutral
1460277723021017088t,Neutral
1420444295727824906t,AntiVax
1438241952399609862t,ProVax
1475551903530434560t,Neutral
1483559679691300865t,AntiVax
1489052326933504008t,Neutral
1409852992514265089t,Neutral
1456079465612783620t,ProVax
1435470764011134977t,AntiVax
1473585461104943105t,AntiVax
1423241711845847045t,Neutral
1455063701925466112t,Neutral
1429671656016973825t,ProVax
1422710007901138944t,ProVax
1422685807450669060t,Neutral
1427790222834556928t,ProVax
1437055108882251782t,ProVax
1488121398857846785t,Neutral
1406148593354907652t,Neutral
1457204884978216964t,Neutral
1486480912456077313t,ProVax
1430672411993812995t,ProVax
1416037878820442117t,AntiVax
1452963995200200709t,ProVax
1423731995239075841t,Neutral
1430924156749631488t,AntiVax
1435709234663002119t,ProVax
1425526111170039808t,ProVax
1505624876358553609t,ProVax
1419854627143569421t,ProVax
1428165592696066050t,AntiVax
1425557210097147904t,Neutral
1397221694159339529t,Neutral
1465006174982529024t,Neutral
1411690064296517635t,ProVax
1420914022581510155t,Neutral
1442832663551873026t,ProVax
1407357812821295104t,ProVax
1419306731662893058t,AntiVax
1463196767168647170t,ProVax
1491497422303997958t,AntiVax
1425451897964670976t,ProVax
1479161769688018950t,AntiVax
1470064169043046400t,ProVax
1429503581795897348t,Neutral
1429804102981148677t,Neutral
1396190007623307264t,Neutral
1431964961354436617t,AntiVax
1416657554730405888t,Neutral
1508079768511692800t,ProVax
1396111647715037186t,AntiVax
1494785929130790915t,ProVax
1455210046082662408t,Neutral
1452957403511721996t,ProVax
1468615711232778249t,ProVax
1423270370551939072t,ProVax
1507637141043662850t,ProVax
1437620512604270595t,Neutral
1477542107669831681t,AntiVax
1481080462370082817t,Neutral
1405625474194149379t,ProVax
1463638249025376258t,Neutral
1416042368025911298t,Neutral
1416916021282148353t,ProVax
1426639205183234048t,ProVax
1406159948539650048t,Neutral
1415632590611091457t,AntiVax
1418648674322685954t,Neutral
1443591328223268873t,Neutral
1396748643848187904t,AntiVax
1469707313128919042t,Neutral
1466491371670294530t,ProVax
1474544051114315778t,ProVax
1421555731011194880t,AntiVax
1485637379465834496t,Neutral
1405041114575482880t,Neutral
1410231966251819008t,ProVax
1420006618427756573t,ProVax
1445169910997561345t,ProVax
1476929341992931340t,ProVax
1465716904937598987t,ProVax
1463271695851167750t,Neutral
1452742025724506115t,Neutral
1426301298786320392t,AntiVax
1454543408731545603t,Neutral
1433146291912069123t,ProVax
1444143758719733761t,Neutral
1425541171426832395t,ProVax
1413359043708555269t,Neutral
1473469103650258951t,AntiVax
1409647510772092928t,Neutral
1420124390495240193t,ProVax
1484942612804997120t,Neutral
1428325879130820612t,ProVax
1485859586322350083t,Neutral
1424802382114852864t,ProVax
1439583679932772354t,Neutral
1411482414124261378t,AntiVax
1452788576614236161t,Neutral
1400430074910806020t,Neutral
1416381095592042497t,AntiVax
1429815420752568324t,ProVax
1434550354365095938t,Neutral
1486577614722637825t,Neutral
1406949414787186692t,Neutral
1430058211294420995t,Neutral
1461225275056791553t,AntiVax
1412040287539630084t,Neutral
1438049910989881344t,AntiVax
1407329537604653060t,Neutral
1416080908453548035t,ProVax
1457514123487596546t,ProVax
1480342441215639552t,ProVax
1431562170706194438t,Neutral
1434946340996399108t,AntiVax
1455635803749511170t,Neutral
1437051537012842498t,ProVax
1474128459051847681t,ProVax
1477001963229233161t,Neutral
1481040291108823041t,Neutral
1437284304287985664t,ProVax
1443444066969001991t,Neutral
1472949352209567750t,Neutral
1442848567081721858t,Neutral
1464383353805807623t,Neutral
1430836291537543168t,Neutral
1456300266723053571t,ProVax
1435149478252593154t,Neutral
1471028434084286471t,Neutral
1441087242466824193t,ProVax
1422781796773675009t,Neutral
1423018488440909828t,Neutral
1457916839615422464t,Neutral
1408792260301496324t,ProVax
1482164083801530370t,Neutral
1415071958228688897t,AntiVax
1424316723654692867t,Neutral
1513763309408894978t,AntiVax
1485632192508272649t,Neutral
1416907544904159233t,Neutral
1403269840341766151t,Neutral
1412752982920384514t,ProVax
1473606613558824964t,Neutral
1462664245447852043t,Neutral
1485516377079562244t,Neutral
1398474521007378432t,Neutral
1424610581772918786t,Neutral
1467773794362150914t,Neutral
1425773041082982401t,Neutral
1487775681379549186t,ProVax
1447973180782653443t,ProVax
1445094716903763980t,Neutral
1440463957794295812t,ProVax
1452895593399873538t,AntiVax
1519674283206791171t,ProVax
1437622299587383299t,Neutral
1458117663616602115t,Neutral
1468743665942212612t,Neutral
1469299975720947716t,Neutral
1481713528755167247t,Neutral
1431563523025473540t,ProVax
1418375669172654083t,AntiVax
1395826980906536966t,ProVax
1465416007401549824t,ProVax
1395326749458710530t,ProVax
1417200034106560523t,ProVax
1436330786316193793t,ProVax
1455071173289517057t,Neutral
1451576843392491545t,ProVax
1424538370512932865t,Neutral
1469245708641484800t,Neutral
1437412952643149836t,Neutral
1459418929210687490t,ProVax
1434541475111620611t,ProVax
1439671968501014528t,ProVax
1518920888413995011t,ProVax
1436143780281917441t,Neutral
1462506222616199169t,ProVax
1461549678693175298t,Neutral
1451306874670882817t,AntiVax
1404862193225637888t,AntiVax
1396255690415480838t,ProVax
1412277767429705729t,Neutral
1445177740693475333t,AntiVax
1401539257349644292t,Neutral
1471617832043651075t,ProVax
1463436344164864001t,AntiVax
1397602884804562948t,Neutral
1437187052496465930t,Neutral
1437347855627345920t,AntiVax
1443257297229262856t,ProVax
1433524133862592514t,ProVax
1477328961571110921t,ProVax
1427086943112863752t,ProVax
1397504971508117506t,Neutral
1431612738057359361t,AntiVax
1430793252169474048t,ProVax
1466254012215349255t,Neutral
1402742924081877000t,ProVax
1515099055134851077t,AntiVax
1397709155134283779t,Neutral
1430240455636275206t,Neutral
1408379613923921921t,Neutral
1395480666297536519t,Neutral
1428005641944195086t,ProVax
1428769417882648581t,Neutral
1427237166447484929t,Neutral
1485993608448811009t,Neutral
1481405267971506178t,ProVax
1420080359086166020t,AntiVax
1467709890936324097t,Neutral
1445371850343714826t,ProVax
1421056079031582720t,ProVax
1441498822564323330t,Neutral
1493624280051236864t,AntiVax
1453981348092268550t,Neutral
1410539764038598664t,ProVax
1509096347143712778t,Neutral
1459630473307586564t,ProVax
1513189768561147911t,Neutral
1459971798146195471t,Neutral
1422401840914870276t,Neutral
1429828029954592768t,ProVax
1469128496442183683t,ProVax
1399011476673863681t,Neutral
1420877731173183488t,ProVax
1410189635276337152t,Neutral
1443759381292720128t,AntiVax
1470841798771810312t,AntiVax
1434212862629609474t,Neutral
1471498903174270979t,AntiVax
1429996060550864897t,AntiVax
1434947594241785857t,ProVax
1450119488930783235t,Neutral
1473658892508925954t,Neutral
1428381171189096454t,ProVax
1428028562611769346t,Neutral
1419998130116784129t,ProVax
1429231193216536583t,ProVax
1434467549073248258t,Neutral
1432558496558370817t,Neutral
1436700711589396486t,AntiVax
1406306698776678408t,ProVax
1416609452921397250t,ProVax
1416477476608479234t,ProVax
1442170144499937285t,ProVax
1481974802915250188t,Neutral
1435635972507639809t,ProVax
1405329906305843202t,Neutral
1416679281690877954t,AntiVax
1449116775098957826t,Neutral
1420858294520983563t,AntiVax
1410821562475814912t,Neutral
1397711949748523011t,Neutral
1486006334990528517t,Neutral
1413494299296034819t,Neutral
1481451898343460867t,Neutral
1436410980708257795t,Neutral
1437141315406475265t,ProVax
1445056496069488640t,ProVax
1412487668060110850t,Neutral
1403937219665006598t,ProVax
1455523522084839429t,AntiVax
1467115667430297608t,Neutral
1460992469722701835t,ProVax
1505096650963914752t,Neutral
1482166432158961667t,ProVax
1465291013443006473t,ProVax
1455912650601291784t,Neutral
1399945546488434688t,Neutral
1449388956680957953t,ProVax
1457472167164071940t,Neutral
1403483023920795652t,Neutral
1481784140500508675t,ProVax
1415696970493091842t,Neutral
1433569675900817408t,AntiVax
1396301377467518991t,Neutral
1440829102362038274t,Neutral
1473847392835633155t,Neutral
1406618950008455170t,ProVax
1493964667500347394t,Neutral
1409945658811895814t,ProVax
1485432225713823746t,ProVax
1442526622222065664t,AntiVax
1458880055464054785t,ProVax
1465899534744047619t,Neutral
1517082405466558464t,ProVax
1511018980491857929t,Neutral
1441008590924304387t,ProVax
1430589989474156547t,Neutral
1429192481644728328t,ProVax
1439243692695564300t,Neutral
1463965120053362688t,ProVax
1428246455899377670t,ProVax
1490380341726658563t,Neutral
1421184050404995075t,Neutral
1480887928872218626t,AntiVax
1405861089565347845t,Neutral
1447939638136541192t,AntiVax
1438544824370700290t,ProVax
1517530607240327168t,AntiVax
1420854008361619461t,Neutral
1441077846538076160t,Neutral
1412140048187789323t,Neutral
1425108883027157003t,ProVax
1407066599107051521t,Neutral
1480039553310212193t,AntiVax
1400476115831951365t,Neutral
1441507737494376450t,Neutral
1454293365219020803t,ProVax
1495906329512316935t,Neutral
1493839352790585351t,Neutral
1436182008221167640t,ProVax
1483751145675923461t,ProVax
1491489611071336452t,Neutral
1467693134524018688t,ProVax
1461823845594066944t,Neutral
1425978436049321985t,Neutral
1442970025120305175t,ProVax
1397350708597256192t,ProVax
1483198551702536193t,ProVax
1420134109993652230t,Neutral
1397800912756916224t,Neutral
1400720558573064197t,ProVax
1452126985598029830t,Neutral
1407904230799659008t,Neutral
1482033392317345793t,Neutral
1422776445353435140t,Neutral
1436370979043909639t,Neutral
1462204477151199239t,AntiVax
1461784949154099203t,AntiVax
1457714447401689092t,Neutral
1465053958079229962t,Neutral
1511435148838912000t,AntiVax
1450872904162312192t,Neutral
1492679920258097152t,Neutral
1412476070096343053t,Neutral
1439177137362292737t,Neutral
1395987675224580097t,Neutral
1446170080077877249t,Neutral
1416855472947273739t,ProVax
1420408334163881984t,Neutral
1466500884985270275t,Neutral
1399857260944363521t,ProVax
1474746186397626370t,Neutral
1496199496191123467t,ProVax
1445574741327171584t,Neutral
1420497211796905988t,AntiVax
1440049390031282191t,ProVax
1471223558697361418t,ProVax
1461140316384227335t,Neutral
1460946237407076359t,Neutral
1395947279543148544t,AntiVax
1480598779271200772t,AntiVax
1458257955992883200t,Neutral
1463481833748844546t,Neutral
1508763610323030017t,Neutral
1461789602566623236t,Neutral
1428376487208620038t,Neutral
1427528552954560515t,Neutral
1457717411197685766t,Neutral
1424843465674924034t,AntiVax
1435990124542713856t,Neutral
1457345746278223877t,AntiVax
1435972675973877763t,ProVax
1430306076914855936t,ProVax
1436451712114597901t,Neutral
1412627946376884224t,Neutral
1395683361545359360t,AntiVax
1430339856777965568t,ProVax
1466206579276095499t,AntiVax
1405252736078151680t,ProVax
1480827932335648772t,Neutral
1400937364977983488t,ProVax
1487818658516639749t,ProVax
1460616049297170439t,Neutral
1437839422267879424t,AntiVax
1401577323598647296t,ProVax
1436280689024962562t,Neutral
1428995365890560003t,ProVax
1415047620335079425t,AntiVax
1442145453613670401t,AntiVax
1429951661641019394t,ProVax
1444818613274243075t,AntiVax
1508464260778655750t,Neutral
1470619091144622082t,Neutral
1409919193395302401t,Neutral
1429149203285020681t,Neutral
1408563822722359296t,ProVax
1413638728988323840t,ProVax
1431961739982098435t,ProVax
1433141571491356672t,Neutral
1443743705664352264t,Neutral
1421135237866786821t,AntiVax
1450205440487297025t,ProVax
1439625857220370432t,ProVax
1427346228233244686t,Neutral
1404876340910772226t,Neutral
1464055989657870337t,Neutral
1421969685390704644t,Neutral
1425312710288359426t,Neutral
1398012395889598464t,AntiVax
1439006057003556865t,Neutral
1475943998795788294t,ProVax
1397262654054490123t,Neutral
1430277495987834886t,ProVax
1456016503841636353t,Neutral
1491061466329645059t,ProVax
1419941033530466305t,ProVax
1443933541146841089t,Neutral
1396463425086271490t,Neutral
1407215642571198466t,Neutral
1404400542244347912t,Neutral
1424431007822929920t,ProVax
1479202399860367360t,ProVax
1482562213554835457t,ProVax
1457819965722030082t,ProVax
1410097003380367368t,Neutral
1418307666804416515t,Neutral
1424580003564490755t,Neutral
1495570919510581249t,Neutral
1432745477565521925t,Neutral
1421635579691692036t,ProVax
1478376289878921236t,Neutral
1449513900643217409t,ProVax
1441448997139460103t,Neutral
1457920884128174089t,Neutral
1424755236573483016t,ProVax
1417081986183741443t,Neutral
1426184579862327301t,AntiVax
1432714166851313664t,ProVax
1511521308881862656t,Neutral
1420074880209506314t,Neutral
1443371417140084745t,AntiVax
1424516239339102209t,Neutral
1441519248493395971t,ProVax
1438532389035286528t,AntiVax
1483888811964784642t,AntiVax
1489324628665196548t,Neutral
1482690540194111494t,AntiVax
1508760501068701696t,AntiVax
1397554380942069762t,Neutral
1407121955862556672t,Neutral
1475852867575635975t,ProVax
1403204884162220036t,Neutral
1433549703321370624t,Neutral
1401799788580929538t,Neutral
1450623233401753602t,Neutral
1494591751310487556t,Neutral
1435492578145734658t,AntiVax
1435735793063108608t,ProVax
1399437677569658883t,AntiVax
1462130101848612871t,Neutral
1443284406324629514t,Neutral
1444520329406201859t,ProVax
1433145548585021440t,Neutral
1423269232213643281t,ProVax
1425523409362898949t,Neutral
1449877946378948609t,Neutral
1459931801447710724t,ProVax
1410600526295683080t,Neutral
1419839052396761094t,ProVax
1450053432556011520t,AntiVax
1510893228198825987t,ProVax
1493574118876274693t,ProVax
1420441428463915018t,ProVax
1409693876906987528t,AntiVax
1424827553467011081t,AntiVax
1402637011500945422t,AntiVax
1426162607145246730t,AntiVax
1506345057670029317t,Neutral
1516805518194524168t,Neutral
1507198471459155975t,AntiVax
1396240335139971074t,Neutral
1460994265262301192t,Neutral
1410068345077043205t,Neutral
1427757244242923526t,Neutral
1422584201765916674t,Neutral
1460192291528888321t,Neutral
1456670973189578756t,Neutral
1398329152802066438t,Neutral
1430639492617019395t,AntiVax
1470393525262970880t,ProVax
1482169478435721218t,Neutral
1414226800553594881t,Neutral
1468847965057941507t,ProVax
1395368313912504321t,AntiVax
1437495265439666179t,ProVax
1460769936486240256t,ProVax
1404545615443415040t,Neutral
1480600090662346754t,Neutral
1430655147655434252t,ProVax
1398528384272060419t,Neutral
1434969632440569864t,AntiVax
1476229021050486788t,Neutral
1470186945183723524t,Neutral
1436092791621292045t,ProVax
1496350042202206216t,Neutral
1439539841935372288t,ProVax
1468078059672813571t,Neutral
1460007911497912325t,Neutral
1444201294269452292t,Neutral
1492874242488213506t,Neutral
1412324361202143248t,ProVax
1437801855732502531t,ProVax
1463623438271016960t,ProVax
1425915524270198785t,Neutral
1419284964655443976t,ProVax
1415500532161163266t,ProVax
1429474524983005184t,Neutral
1413517001243365383t,ProVax
1472043058179067909t,Neutral
1477119491330953218t,Neutral
1517973144744521729t,AntiVax
1443849010020769818t,AntiVax
1445435016713052161t,ProVax
1431672722950692871t,Neutral
1403737272256663555t,ProVax
1475059203668512771t,AntiVax
1406859221195362309t,ProVax
1474010622593540101t,Neutral
1473021251698319361t,ProVax
1436135537220493317t,ProVax
1433184190879645700t,ProVax
1475652916128239618t,Neutral
1412674855049347072t,ProVax
1428405182749097989t,Neutral
1505626048200773632t,Neutral
1473234849272152068t,AntiVax
1440996996152578060t,AntiVax
1409933003707408386t,ProVax
1404792055830876165t,ProVax
1422717851136262144t,AntiVax
1504937173157621766t,Neutral
1442331505691291656t,AntiVax
1421259340955140101t,Neutral
1462483008313864192t,ProVax
1477819146788564992t,ProVax
1473189881627430914t,ProVax
1516177480436133890t,Neutral
1472623416658341893t,Neutral
1413791693258821632t,Neutral
1456642350097313802t,Neutral
1503319982284886016t,Neutral
1456744365146062853t,Neutral
1417577845463846917t,ProVax
1430859797059055617t,ProVax
1418482087112298501t,Neutral
1444428016872984578t,Neutral
1437137061375582218t,Neutral
1400595655043829763t,Neutral
1472043707855609861t,AntiVax
1507788911258607619t,Neutral
1396250401264001031t,Neutral
1423286733777424384t,ProVax
1437685629458997251t,Neutral
1420152075472809985t,AntiVax
1487500865443287044t,Neutral
1406981379011776512t,AntiVax
1474436542827573256t,Neutral
1403638201403670540t,ProVax
1399700178555310081t,Neutral
1424911897711812611t,ProVax
1419506437072424963t,Neutral
1490718566143995904t,Neutral
1435680082945789959t,ProVax
1464950546247286788t,AntiVax
1418019955887546369t,ProVax
1438501835673939970t,ProVax
1442251154516111360t,Neutral
1495442737952342022t,Neutral
1470898939909996544t,AntiVax
1425827531949707266t,Neutral
1427993704866983945t,Neutral
1440357070478270465t,AntiVax
1417691346781937665t,ProVax
1428553662679375874t,ProVax
1445138341675085828t,AntiVax
1432928517637955585t,AntiVax
1463639097449361413t,Neutral
1485238348671242240t,ProVax
1405216170106658822t,Neutral
1461292422411919364t,Neutral
1422678550788849672t,Neutral
1460315685041713156t,AntiVax
1488369003580039171t,Neutral
1426330771913125889t,AntiVax
1436287109615083524t,ProVax
1507581907550232580t,ProVax
1437089754974244872t,ProVax
1473860309307863042t,ProVax
1425034278023450634t,ProVax
1508633284930064388t,ProVax
1472227936438820870t,Neutral
1397230350707871746t,Neutral
1468621479373942793t,AntiVax
1398827810014203907t,ProVax
1409747071939203073t,ProVax
1487628727546630145t,Neutral
1479400199059562500t,Neutral
1440891704643567618t,Neutral
1473305571411603458t,Neutral
1437070863942275073t,ProVax
1455096996436406275t,AntiVax
1415761928996237317t,ProVax
1428530044079591425t,ProVax
1433848507648155653t,ProVax
1417963836871749639t,AntiVax
1400328910953451521t,AntiVax
1495921392273010688t,AntiVax
1415271511447859203t,AntiVax
1425173314440359938t,AntiVax
1477985430171648005t,ProVax
1431439538329559044t,Neutral
1423226572631330816t,Neutral
1398612873572614144t,AntiVax
1513744321543081985t,ProVax
1396669804556308489t,Neutral
1487103430585995271t,Neutral
1436098326513004546t,Neutral
1455911790945046534t,Neutral
1459893836176572416t,ProVax
1417903169305202689t,ProVax
1438891632422801412t,Neutral
1418992809659576323t,ProVax
1514634738140868610t,ProVax
1436060180731604993t,Neutral
1430779781549891585t,AntiVax
1465824575401381890t,Neutral
1495982182460018689t,ProVax
1481457609072857090t,AntiVax
1507790179758931968t,Neutral
1413411700733202433t,ProVax
1436357024531550211t,Neutral
1444469502314418181t,Neutral
1451687857173708802t,ProVax
1428470558946066433t,AntiVax
1475201275218251796t,ProVax
1451142921626046468t,Neutral
1434097533496832002t,Neutral
1409428349068345347t,Neutral
1407383184082456592t,Neutral
1430706605524463622t,ProVax
1437569227708379140t,AntiVax
1455860824724103171t,AntiVax
1432610640070254593t,ProVax
1505359009695801344t,Neutral
1462890352696864769t,Neutral
1450752223726690307t,ProVax
1426222975108407296t,Neutral
1471836133613084672t,AntiVax
1472586840301617153t,Neutral
1423061697556668420t,ProVax
1493703003400019976t,Neutral
